author,nb_commentaires,total_likes,nb_reponses,score_influence
@ronaldvandermeijs-r6n,2,6,0,14
@MaxMiller-j8s,3,1,3,14
@lakhdar-f1n,2,6,0,14
@wackypeace1135,2,6,0,14
@feust9247,2,6,0,14
@glazim2982,2,6,0,14
@Keepcalmorgetout,4,2,2,14
@easyforme9342,2,6,0,14
@funstuff8876,3,1,3,14
@googleaccount7977,6,4,0,14
@MR.MOMINTO,2,6,0,14
@maccrypvest612,2,6,0,14
@mikebarton,3,4,1,14
@benghazi4216,3,1,3,14
@kevinwuryanto2240,2,6,0,14
@abderraoufbenaki2023,2,6,0,14
@julianbashir8277,4,2,2,14
@belhinaniabdelkhalek6481,2,3,2,14
@namnamou9832,1,5,1,14
@AminaHilmi-n2n,2,6,0,14
@OmarMéndez-o7i,1,6,0,13
@ابنالصحراءالغربية-ق4ط,3,2,2,13
@aichaadoui1,1,6,0,13
@swad7sh,1,6,0,13
@fluffycoffee3465,3,0,3,12
@stevengreen9536,3,0,3,12
@icarus_light,6,3,0,12
@insider678-t4g,1,4,1,12
@BenadoAdam,2,5,0,12
@212-y7p,2,2,2,12
@Dorka212,3,0,3,12
@hakdh-mre,3,0,3,12
@yesitsme691,3,0,3,12
@jilalidouch3410,4,4,0,12
@LXXXIV60,2,2,2,12
@NoProxies,2,2,2,12
@cvird,2,2,2,12
@emirayub6418,1,4,1,12
@el_kapitan_fatpitan,2,2,2,12
@bruxelleskarim,1,4,1,12
@mohamedalahyan313,2,2,2,12
@northblue..,3,0,3,12
@redabaroin968,1,4,1,12
@PazConTomate,2,2,2,12
@ophirbactrius8285,2,2,2,12
@aferyadlahoussaine497,4,4,0,12
@aaradhyadarshan19129,2,2,2,12
@Geertwildersakaatrump,2,2,2,12
@wassim9372,1,4,1,12
@The_wind_that_happened,3,0,3,12
@AhmedBenchawi-mor,2,2,2,12
@politicallyincorrectbeing8201,3,1,2,11
@YacobIbnMohamed,5,3,0,11
@ahmedabdelhakimbouafia2213,1,5,0,11
@Koas254,1,5,0,11
@johnnysmithdziri,1,5,0,11
@SK-lt1so,1,5,0,11
@Sarfaraz-Sultani,1,5,0,11
@askari4940,2,3,1,11
@revenger8744,1,3,1,10
@fouadsabir1534,2,4,0,10
@CN-bm4sc,3,2,1,10
@Tangerwi,2,4,0,10
@wehosrmthink7510,2,4,0,10
@sowelyass,4,0,2,10
@madrid7790,1,3,1,10
@dodobebe3830,2,4,0,10
@XeyeXofXlynxX,2,4,0,10
@morbidsearch,2,4,0,10
@sinba.,2,4,0,10
@moguerlain7158,2,4,0,10
@mohamedred5746,2,1,2,10
@Eevcee,2,4,0,10
@andrela2361,2,4,0,10
@ahsanurr4219,2,4,0,10
@Raindaas,4,0,2,10
@MohamedAli-hv6lq,2,4,0,10
@benamer8836,2,4,0,10
@motouchant8276,2,4,0,10
@KarimAlgeria-e4e,2,4,0,10
@aimen6366,2,4,0,10
